,Date,ExchangeRate,WTI_Close,ETF_Close,gold_close,pork
0,2021-11-01,"1,177.50",84.05,10970,67450,"2,393"
1,2021-11-02,"1,176.00",83.91,11175,67760,"2,390"
2,2021-11-03,"1,183.50",80.86,11070,67620,"2,376"
3,2021-11-04,"1,183.50",78.81,11000,67400,"2,504"
4,2021-11-05,"1,184.50",81.27,10875,68460,"2,515"
5,2021-11-08,"1,181.50",81.93,10770,69130,"2,518"
6,2021-11-09,"1,176.50",84.15,10730,69020,"2,521"
7,2021-11-10,"1,180.00",81.34,10850,69280,"2,533"
8,2021-11-11,"1,181.00",81.59,11100,70330,"2,516"
9,2021-11-12,"1,178.50",80.79,11105,70460,"2,511"
10,2021-11-15,"1,179.00",80.88,11210,70380,"2,528"
11,2021-11-16,"1,184.62",80.76,11250,70780,"2,532"
12,2021-11-17,"1,182.00",78.36,11145,70520,"2,536"
13,2021-11-18,"1,185.00",79.01,11330,70730,"2,625"
14,2021-11-19,"1,191.00",76.1,11305,70920,"2,619"
15,2021-11-22,"1,187.00",76.75,11255,70240,"2,623"
16,2021-11-23,"1,191.00",78.5,11360,69030,"2,623"
17,2021-11-24,"1,188.00",78.39,11500,68430,"2,623"
18,2021-11-25,"1,190.50",77.41,11370,68610,"2,515"
19,2021-11-26,"1,195.50",68.15,11235,69140,"2,507"
20,2021-11-29,"1,193.40",69.95,11400,68850,"2,486"
21,2021-11-30,"1,190.40",66.18,11150,68460,"2,486"
22,2021-12-01,"1,180.50",65.57,10950,67800,"2,491"
23,2021-12-02,"1,175.50",66.5,10940,67220,"2,646"
24,2021-12-06,"1,182.00",69.49,11165,67900,"2,689"
25,2021-12-07,"1,179.50",72.05,11130,67540,"2,700"
26,2021-12-08,"1,175.50",72.36,11115,67630,"2,708"
27,2021-12-09,"1,177.50",70.94,11120,67420,"2,771"
28,2021-12-10,"1,180.50",71.67,11100,67330,"2,787"
29,2021-12-13,"1,182.50",71.29,11115,67790,"2,776"
30,2021-12-14,"1,184.50",70.73,11035,67960,"2,780"
31,2021-12-15,"1,187.50",70.87,11040,67430,"2,784"
32,2021-12-16,"1,183.50",72.38,11000,67910,"2,782"
33,2021-12-17,"1,185.50",70.86,11090,68570,"2,785"
34,2021-12-20,"1,191.50",68.23,11070,68990,"2,774"
35,2021-12-21,"1,190.50",71.12,11140,68660,"2,774"
36,2021-12-22,"1,190.50",72.76,11315,68530,"2,768"
37,2021-12-23,"1,187.00",73.79,11515,68960,"2,666"
38,2021-12-27,"1,188.00",75.57,11520,69050,"2,699"
39,2021-12-28,"1,187.50",75.98,11650,69330,"2,694"
40,2021-12-29,"1,187.00",76.56,11400,68910,"2,689"
41,2021-12-30,"1,189.50",76.99,11470,68740,"2,541"
42,2022-01-03,"1,193.00",76.08,11395,69930,"2,482"
43,2022-01-04,"1,198.00",76.99,11350,69280,"2,484"
44,2022-01-05,"1,196.50",77.85,11450,69840,"2,501"
45,2022-01-06,"1,203.00",79.46,11250,69620,"2,347"
46,2022-01-07,"1,203.00",78.9,11310,69160,"2,319"
47,2022-01-10,"1,198.00",78.23,11400,69120,"2,335"
48,2022-01-11,"1,194.00",81.22,11360,69420,"2,335"
49,2022-01-12,"1,188.50",82.64,11450,69680,"2,343"
50,2022-01-13,"1,185.00",82.12,11330,69670,"2,377"
51,2022-01-14,"1,189.50",83.82,11200,69760,"2,375"
52,2022-01-17,"1,192.50",83.69,11300,69760,"2,373"
53,2022-01-18,"1,191.50",85.43,11200,69510,"2,372"
54,2022-01-19,"1,188.00",86.96,11430,69470,"2,392"
55,2022-01-20,"1,190.00",86.9,11650,70540,"2,318"
56,2022-01-21,"1,191.50",85.14,11610,70650,"2,343"
57,2022-01-24,"1,196.50",83.31,11755,70710,"2,309"
58,2022-01-25,"1,198.00",85.6,11755,70970,"2,309"
59,2022-01-26,"1,196.00",87.35,11735,71110,"2,309"
60,2022-01-27,"1,203.50",86.61,11760,70060,"2,305"
61,2022-01-28,"1,211.00",86.82,11835,69680,"2,293"
62,2022-02-03,"1,202.00",90.27,11870,70030,"2,397"
63,2022-02-04,"1,200.00",92.31,11900,69540,"2,376"
64,2022-02-07,"1,199.00",91.32,12155,69860,"2,396"
65,2022-02-08,"1,198.50",89.36,12230,70120,"2,382"
66,2022-02-09,"1,194.50",89.66,12210,70300,"2,375"
67,2022-02-10,"1,198.00",89.88,12380,70580,"2,351"
68,2022-02-11,"1,194.50",93.1,12260,70240,"2,377"
69,2022-02-14,"1,196.50",95.46,12575,70950,"2,366"
70,2022-02-15,"1,197.00",92.07,12370,72450,"2,353"
71,2022-02-16,"1,198.00",93.66,12200,71420,"2,341"
72,2022-02-17,"1,197.00",91.76,12415,72170,"2,359"
73,2022-02-18,"1,195.00",91.07,12395,72750,"2,352"
74,2022-02-21,"1,193.00",92.65,12600,72440,"2,250"
75,2022-02-22,"1,193.00",92.35,12760,73200,"2,256"
76,2022-02-23,"1,191.50",92.1,13020,72800,"2,364"
77,2022-02-24,"1,206.50",92.81,13960,74960,"2,361"
78,2022-02-25,"1,200.00",91.59,13675,74050,"2,364"
79,2022-02-28,"1,204.00",95.72,13215,73790,"2,314"
80,2022-03-02,"1,205.50",110.6,14140,75130,"2,290"
81,2022-03-03,"1,205.50",107.67,14715,74700,"2,228"
82,2022-03-04,"1,217.00",115.68,15300,75600,"2,238"
83,2022-03-07,"1,227.00",119.4,15955,78290,"2,193"
84,2022-03-08,"1,234.00",123.7,15535,79930,"2,262"
85,2022-03-10,"1,226.50",106.02,14655,78380,"2,358"
86,2022-03-11,"1,231.50",109.33,14700,78720,"2,374"
87,2022-03-14,"1,238.00",103.01,14525,78910,"2,343"
88,2022-03-15,"1,242.00",96.44,14470,77190,"2,369"
89,2022-03-16,"1,228.50",95.04,14740,76070,"2,370"
90,2022-03-17,"1,212.50",102.98,14115,75500,"2,362"
91,2022-03-18,"1,214.00",104.7,14585,75090,"2,362"
92,2022-03-21,"1,216.50",112.12,14505,75270,"2,364"
93,2022-03-22,"1,216.50",111.76,15050,75790,"2,389"
94,2022-03-23,"1,218.50",114.93,14700,74860,"2,389"
95,2022-03-24,"1,222.00",112.34,14625,76030,"2,403"
96,2022-03-25,"1,221.00",113.9,14535,76670,"2,402"
97,2022-03-28,"1,225.00",105.96,14470,76380,"2,393"
98,2022-03-29,"1,211.00",104.24,14350,75440,"2,389"
99,2022-03-30,"1,210.50",107.82,14020,74810,"2,367"
100,2022-03-31,"1,214.50",100.28,14235,75060,"2,370"
