,Date,ExchangeRate,WTI_Close,ETF_Close,gold_close,pork
0,2020-11-02,"1,135.50",36.81,8045,68650,"2,062"
1,2020-11-03,"1,133.00",37.66,8120,69010,"2,061"
2,2020-11-04,"1,140.00",39.15,8165,69400,"2,039"
3,2020-11-05,"1,127.50",38.79,8335,69250,"2,186"
4,2020-11-06,"1,122.50",37.14,8355,69930,"2,181"
5,2020-11-09,"1,115.50",40.29,8300,70140,"2,185"
6,2020-11-10,"1,116.00",41.36,8300,67590,"2,178"
7,2020-11-11,"1,113.00",41.45,8575,67180,"2,176"
8,2020-11-12,"1,115.00",41.12,8460,67050,"2,130"
9,2020-11-13,"1,114.00",40.13,8345,67430,"2,036"
10,2020-11-16,"1,107.00",41.34,8435,67420,"2,120"
11,2020-11-17,"1,106.00",41.43,8525,67140,"2,116"
12,2020-11-18,"1,104.00",41.82,8565,66710,"2,143"
13,2020-11-19,"1,117.00",41.74,8590,66770,"2,169"
14,2020-11-20,"1,117.00",42.15,8580,66900,"2,160"
15,2020-11-23,"1,112.00",43.06,8655,66950,"2,188"
16,2020-11-24,"1,110.50",44.91,8600,65410,"2,184"
17,2020-11-25,"1,107.50",45.71,8710,64400,"2,190"
18,2020-11-26,"1,106.50",44.98,8680,64300,"2,076"
19,2020-11-27,"1,104.50",45.53,8660,64190,"2,069"
20,2020-11-30,"1,107.50",45.34,8675,63070,"2,111"
21,2020-12-01,"1,108.00",44.55,8500,63500,"2,050"
22,2020-12-02,"1,102.50",45.28,8380,64160,"2,048"
23,2020-12-03,"1,094.00",45.64,8450,64600,"2,165"
24,2020-12-07,"1,086.50",45.76,8335,64040,"2,185"
25,2020-12-08,"1,085.50",45.6,8320,65180,"2,189"
26,2020-12-09,"1,085.50",45.52,8280,64940,"2,199"
27,2020-12-10,"1,089.00",46.78,8415,64250,"2,170"
28,2020-12-11,"1,092.00",46.57,8470,64370,"2,170"
29,2020-12-14,"1,092.00",46.99,8590,64350,"2,180"
30,2020-12-15,"1,094.50",47.62,8505,64630,"2,181"
31,2020-12-16,"1,092.00",47.82,8560,65340,"2,169"
32,2020-12-17,"1,093.50",48.36,8605,65740,"2,163"
33,2020-12-18,"1,098.50",49.1,8700,66530,"2,163"
34,2020-12-21,"1,104.00",47.74,8815,67500,"2,168"
35,2020-12-22,"1,107.00",47.02,8810,66690,"2,168"
36,2020-12-23,"1,107.00",48.12,8870,66420,"2,177"
37,2020-12-24,"1,103.50",48.23,9020,66530,"2,119"
38,2020-12-28,"1,096.00",47.62,9040,66470,"2,121"
39,2020-12-29,"1,093.50",48.0,9015,65920,"2,123"
40,2020-12-30,"1,087.50",48.4,9135,65740,"2,119"
41,2021-01-04,"1,083.00",47.62,9625,66910,"2,149"
42,2021-01-05,"1,089.50",49.93,9545,67890,"2,149"
43,2021-01-06,"1,087.00",50.63,9785,67880,"2,140"
44,2021-01-07,"1,090.50",50.83,9715,67330,"2,108"
45,2021-01-08,"1,092.00",52.24,9710,66830,"2,100"
46,2021-01-11,"1,097.20",52.25,9635,65050,"2,109"
47,2021-01-12,"1,099.50",53.21,9620,65750,"2,107"
48,2021-01-13,"1,097.00",52.91,10220,65470,"2,116"
