,open,high,low,close,volume,value
2019-06-26 09:00:00,13942000.0,16840000.0,13858000.0,15854000.0,49346.44063007,750596227110.595
2019-06-27 09:00:00,15854000.0,16451000.0,13088000.0,14028000.0,53630.66520719,784340620564.0253
2019-06-28 09:00:00,14021000.0,15400000.0,13597000.0,15307000.0,34255.78282605,496347234579.13184
2019-06-29 09:00:00,15306000.0,15446000.0,14246000.0,14576000.0,20528.56039002,301336580523.4551
2019-06-30 09:00:00,14576000.0,14823000.0,13501000.0,13598000.0,15823.17086473,224262126831.7942
2019-07-01 09:00:00,13599000.0,13846000.0,12330000.0,13026000.0,25148.22954355,329524192946.7636
2019-07-02 09:00:00,13027000.0,13352000.0,11850000.0,13205000.0,33653.85372014,420056886890.81635
2019-07-03 09:00:00,13205000.0,14450000.0,13205000.0,14419000.0,29701.05312366,408707039821.3516
2019-07-04 09:00:00,14424000.0,14543000.0,13446000.0,13535000.0,17777.00140039,250066064432.3536
2019-07-05 09:00:00,13535000.0,13790000.0,13100000.0,13367000.0,15604.87414517,210030655123.0837
2019-07-06 09:00:00,13352000.0,13980000.0,13337000.0,13607000.0,11029.65693401,151147381308.83176
2019-07-07 09:00:00,13608000.0,13777000.0,13402000.0,13652000.0,6112.29934939,82884148613.21906
2019-07-08 09:00:00,13658000.0,14712000.0,13504000.0,14570000.0,13219.12416828,186721744809.7835
2019-07-09 09:00:00,14569000.0,15167000.0,14449000.0,14940000.0,18409.06927592,272967560115.14102
2019-07-10 09:00:00,14940000.0,15537000.0,14010000.0,14595000.0,29004.84701858,434277406079.4697
2019-07-11 09:00:00,14594000.0,14662000.0,13488000.0,13770000.0,25449.01584899,355725403110.0496
2019-07-12 09:00:00,13770000.0,14300000.0,13240000.0,14199000.0,17827.61270592,247018185031.88745
2019-07-13 09:00:00,14194000.0,14266000.0,13373000.0,13810000.0,10525.64945175,145284309844.6349
2019-07-14 09:00:00,13810000.0,13857000.0,12393000.0,12425000.0,18601.5880795,242509429976.46146
