우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도,시설 경도,통학차량운영여부
7807,서울특별시 강서구 공항대로 150 홈앤쇼핑 3층,02-0000-0000,,,3,109,0,0,0,30,0,37.56647,126.977963,
7792,서울특별시 강서구 마곡중앙8로7길 39 2층,02-2160-8210,,,3,96,0,13,3,32,0,37.56647,126.977963,
7740,서울특별시 강서구 곰달래로53길 30-20,02-2646-7142,02-2646-7144,https://www.comwel.or.kr/kids-gomdallae/index.jsp,5,216,1,32,16,70,60,37.533652,126.860232,미운영
7550,서울특별시 강서구 화곡로68길 115 101동 111호,02-6093-8643,,,3,47,0,4,5,17,9,37.56647,126.977963,미운영
7580,서울특별시 강서구 강서로56나길 128,02-2659-3370,010-2659-3310,https://www.comwel.or.kr/kids-deungchon/,5,198,1,32,14,73,42,37.56647,126.977963,미운영
7735,서울특별시 강서구 곰달래로53길 112,02-2655-0644,070-7836-9078,,5,180,1,16,13,67,58,37.53603636,126.8565433,미운영
7695,서울특별시 강서구 화곡로41길 19,02-2691-3690,,,5,215,1,24,14,72,54,37.54709325,126.8427915,미운영
7600,서울특별시 강서구 공항대로 103 엠밸리9단지 관리동,02-6956-5573,,,8,380,1,20,22,122,120,37.56232571,126.8199106,미운영
7562,서울특별시 강서구 공항대로 543,02-3662-7942,02-3662-7943,,5,138,0,16,13,45,42,37.55074889,126.8664412,미운영
7674,서울특별시 강서구 까치산로18나길 22-1,02-2605-0241,,,5,186,1,8,12,59,48,37.54634017,126.8491244,미운영
7703,서울특별시 강서구 화곡로13길 107 135동 101호,02-2605-7313,02-2605-7312,daewooju2002@,4,97,0,5,10,20,20,37.5444628,126.8316879,미운영
7669,서울특별시 강서구 등촌로39마길 52,02-2653-6986,02-2653-6986,,2,52,0,0,4,15,12,37.5441165,126.8578306,미운영
7745,서울특별시 강서구 곰달래로31다길 25,02-2699-1921,02-844-3377,,7,306,1,30,15,99,79,37.53359999,126.8526489,미운영
7768,서울특별시 강서구 강서로17다길 15-14,02-2603-2225,02-2603-2273,,7,245,1,32,15,92,87,37.53329264,126.8414345,미운영
7609,서울특별시 강서구 금낭화로11길 36,02-2662-3265,,,5,206,1,11,14,73,63,37.57003671,126.8103157,미운영
7796,서울특별시 강서구 마곡중앙10로 30 E3,02-2135-1236,02-2136-1936,,4,97,0,16,12,30,25,37.56198781,126.8321238,미운영
7795,서울특별시 강서구 마곡중앙8로1길 10,02-3663-9599,02-3662-9599,,5,230,0,13,14,70,44,37.56184474,126.8361025,미운영
7711,서울특별시 강서구 화곡로13가길 5,02-6949-1305,02-6949-1304,,5,130,1,20,12,48,44,37.54136832,126.833593,미운영
7724,서울특별시 강서구 초록마을로 106,02-6959-7736,070-8228-7400,https://iseoul.seoul.go.kr/homepage/main.do?stCode=11500000730,7,154,1,24,15,51,39,37.53897294,126.8514418,미운영
7804,서울특별시 강서구 공항대로 260 B관 4층,02-6986-5950,02-6986-5955,,3,92,1,13,11,30,13,37.55704866,126.8365332,미운영
7594,서울특별시 강서구 마곡중앙로 177,02-6340-8131,,,3,98,0,9,10,30,26,37.56988038,126.8273321,미운영
