시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도,시설 경도,통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일,,
강서구,11500000747,홈앤쇼핑 어린이집,직장,정상,7807,서울특별시 강서구 공항대로 150 홈앤쇼핑 3층,02-0000-0000,,,3,109,0,0,0,30,0,37.56647,126.977963,,2022-03-15,,,,2022-03-17,일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:52.0,,
강서구,11500000746,DYPNF 직장어린이집,직장,정상,7792,서울특별시 강서구 마곡중앙8로7길 39 2층,02-2160-8210,,,3,96,0,13,3,32,0,37.56647,126.977963,,2022-02-22,,,,2022-03-17,일반,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,03:50.0,,
강서구,11500000745,근로복지공단 곰달래어린이집,법인·단체등,정상,7740,서울특별시 강서구 곰달래로53길 30-20,02-2646-7142,02-2646-7144,https://www.comwel.or.kr/kids-gomdallae/index.jsp,5,216,1,32,16,70,60,37.533652,126.860232,미운영,2021-05-31,,,,2022-03-17,야간연장,3,6,4,2,0,0,0,2,0,17,0,17,12,13,0,0,0,18,0,60,1,0,0,0,0,1,12,0,0,0,0,0,2,1,16,03:51.0,,
강서구,11500000744,성민가정어린이집,가정,정상,7550,서울특별시 강서구 화곡로68길 115 101동 111호,02-6093-8643,,,3,47,0,4,5,17,9,37.56647,126.977963,미운영,2021-04-19,,,,2022-03-17,일반,2,1,0,0,0,0,3,0,0,6,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,1,4,0,0,0,0,0,0,0,5,03:51.0,,
강서구,11500000742,근로복지공단 등촌어린이집,법인·단체등,정상,7580,서울특별시 강서구 강서로56나길 128,02-2659-3370,010-2659-3310,https://www.comwel.or.kr/kids-deungchon/,5,198,1,32,14,73,42,37.56647,126.977963,미운영,2021-03-05,,,,2022-03-17,일반,2,3,2,1,0,0,0,0,0,8,6,15,14,7,0,0,0,0,0,42,0,0,0,0,0,1,10,0,0,0,0,0,1,1,14,03:51.0,,
강서구,11500000741,구립 라온어린이집,국공립,정상,7735,서울특별시 강서구 곰달래로53길 112,02-2655-0644,070-7836-9078,,5,180,1,16,13,67,58,37.53603636,126.8565433,미운영,2021-03-01,,,,2022-03-17,일반,4,4,4,1,0,0,0,3,0,16,6,10,14,13,0,0,0,15,0,58,0,0,0,0,0,1,10,0,0,0,0,0,1,0,13,03:50.0,,
강서구,11500000739,구립 우장숲어린이집,국공립,정상,7695,서울특별시 강서구 화곡로41길 19,02-2691-3690,,,5,215,1,24,14,72,54,37.54709325,126.8427915,미운영,2021-01-01,,,,2022-03-17,일반,2,2,2,1,0,0,0,1,0,8,6,7,14,12,0,0,0,15,0,54,0,0,0,0,0,1,11,0,0,0,0,0,1,0,14,03:51.0,,
강서구,11500000740,마곡9 나인어린이집,국공립,정상,7600,서울특별시 강서구 공항대로 103 엠밸리9단지 관리동,02-6956-5573,,,8,380,1,20,22,122,120,37.56232571,126.8199106,미운영,2020-12-31,,,,2022-03-17,장애아통합 야간연장,,2,2,5,5,2,1,0,1,2,20,0,10,20,28,38,19,0,0,5,120,0,0,0,0,0,1,16,1,0,1,0,1,2,0,23,03:51.0,
강서구,11500000743,구립 염창별하어린이집,국공립,정상,7562,서울특별시 강서구 공항대로 543,02-3662-7942,02-3662-7943,,5,138,0,16,13,45,42,37.55074889,126.8664412,미운영,2020-12-01,,,,2022-03-17,야간연장,2,3,3,0,0,0,0,0,0,8,6,15,21,0,0,0,0,0,0,42,0,0,0,0,0,1,10,0,0,0,0,0,1,0,13,03:51.0,,
강서구,11500000738,구립 이든아이어린이집,국공립,정상,7674,서울특별시 강서구 까치산로18나길 22-1,02-2605-0241,,,5,186,1,8,12,59,48,37.54634017,126.8491244,미운영,2020-11-19,,,,2022-03-17,일반,0,3,2,1,0,0,0,1,0,7,0,11,14,10,0,0,0,13,0,48,0,0,0,0,0,1,9,0,0,0,0,0,1,0,12,03:51.0,,
강서구,11500000737,구립대우주어린이집,국공립,정상,7703,서울특별시 강서구 화곡로13길 107 135동 101호,02-2605-7313,02-2605-7312,daewooju2002@,4,97,0,5,10,20,20,37.5444628,126.8316879,미운영,2020-11-01,,,,2022-03-17,야간연장,4,4,3,0,0,0,0,0,0,11,4,6,10,0,0,0,0,0,0,20,0,0,0,0,0,1,8,0,0,0,0,0,1,0,10,03:51.0,,
강서구,11500000736,두빛나래터발도르프어린이집,협동,정상,7669,서울특별시 강서구 등촌로39마길 52,02-2653-6986,02-2653-6986,,2,52,0,0,4,15,12,37.5441165,126.8578306,미운영,2020-06-24,,,,2022-03-17,일반,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,2,10,0,12,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,03:51.0,,
강서구,11500000735,구립 신태양어린이집,국공립,정상,7745,서울특별시 강서구 곰달래로31다길 25,02-2699-1921,02-844-3377,,7,306,1,30,15,99,79,37.53359999,126.8526489,미운영,2020-04-01,,,,2022-03-17,야간연장,2,2,3,2,1,0,0,1,0,11,2,9,16,15,19,0,0,18,0,79,0,0,0,0,0,1,12,0,0,0,0,0,2,0,15,03:51.0,,
강서구,11500000734,구립 새하늘어린이집,국공립,정상,7768,서울특별시 강서구 강서로17다길 15-14,02-2603-2225,02-2603-2273,,7,245,1,32,15,92,87,37.53329264,126.8414345,미운영,2020-03-01,,,,2022-03-17,야간연장,0,1,3,1,1,2,0,0,0,8,0,5,21,14,17,30,0,0,0,87,0,0,0,0,0,1,12,0,0,0,0,0,2,0,15,03:50.0,,
강서구,11500000733,구립 해담어린이집,국공립,정상,7609,서울특별시 강서구 금낭화로11길 36,02-2662-3265,,,5,206,1,11,14,73,63,37.57003671,126.8103157,미운영,2020-03-01,,,,2022-03-17,장애아통합,0,2,2,1,1,1,0,0,3,10,0,10,14,13,9,12,0,0,5,63,0,0,0,0,0,1,12,0,0,0,0,0,1,0,14,03:51.0,,
강서구,11500000732,LG이노텍 서울어린이집,직장,정상,7796,서울특별시 강서구 마곡중앙10로 30 E3,02-2135-1236,02-2136-1936,,4,97,0,16,12,30,25,37.56198781,126.8321238,미운영,2020-02-26,,,,2022-03-17,일반,0,0,0,0,0,1,2,2,0,5,0,0,0,0,0,5,10,10,0,25,0,0,0,0,0,1,9,0,0,0,0,0,2,0,12,03:50.0,,
강서구,11500000731,구립 엠밸리큰나무어린이집,국공립,정상,7795,서울특별시 강서구 마곡중앙8로1길 10,02-3663-9599,02-3662-9599,,5,230,0,13,14,70,44,37.56184474,126.8361025,미운영,2020-02-20,,,,2022-03-17,장애아통합,2,3,2,1,0,0,0,0,0,8,6,15,14,9,0,0,0,0,0,44,0,0,0,0,0,1,11,0,0,0,0,0,1,0,14,03:51.0,,
강서구,11500000729,구립 아이나무어린이집,국공립,정상,7711,서울특별시 강서구 화곡로13가길 5,02-6949-1305,02-6949-1304,,5,130,1,20,12,48,44,37.54136832,126.833593,미운영,2020-01-12,,,,2022-03-17,장애아통합,2,2,2,1,0,0,0,0,0,7,6,10,14,14,0,0,0,0,0,44,0,0,0,0,0,1,9,0,0,0,0,0,1,0,12,03:51.0,,
