교육청명,교육지원청명,유치원코드,유치원명,설립유형,건축년도,건물층수,건물전용면적,대지총면적,공시차수,주소
서울특별시교육청,강서양천교육지원청,1ecec08c-ed82-b044-e053-0a32095ab044,서울공항초등학교병설유치원,공립(병설),2014년,지상1층/ 지하0층,861㎡,1084㎡,20211,서울특별시 강서구 마곡서1로 68
서울특별시교육청,강서양천교육지원청,1ecec08c-eec6-b044-e053-0a32095ab044,한나유치원,사립(사인),1995년,지상2층/ 지하1층,1222㎡,819㎡,20211,서울특별시 강서구 금낭화로 287-19
서울특별시교육청,강서양천교육지원청,1ecec08c-eec7-b044-e053-0a32095ab044,화곡유치원,사립(법인),1976년,지상1층/ 지하0층,459㎡,2856㎡,20211,서울특별시 강서구 까치산로 60
서울특별시교육청,강서양천교육지원청,1ecec08c-ef9c-b044-e053-0a32095ab044,선미유치원,사립(법인),1973년,지상3층/ 지하0층,905㎡,618㎡,20211,서울특별시 강서구 까치산로2길 43
서울특별시교육청,강서양천교육지원청,1ecec08c-f199-b044-e053-0a32095ab044,서울공진초등학교병설유치원,공립(병설),2014년,지상2층/ 지하1층,841㎡,2485㎡,20211,서울특별시 강서구 마곡서로 33
서울특별시교육청,강서양천교육지원청,1ecec08c-f1fa-b044-e053-0a32095ab044,보라유치원,사립(사인),1995년,지상3층/ 지하1층,534㎡,497㎡,20211,서울특별시 강서구 공항대로39길 100
서울특별시교육청,강서양천교육지원청,1ecec08c-f1fb-b044-e053-0a32095ab044,서강유치원,사립(사인),2018년,지상4층/ 지하0층,514㎡,523㎡,20191,서울특별시 강서구 금낭화로 35
서울특별시교육청,강서양천교육지원청,1ecec08c-f33b-b044-e053-0a32095ab044,신세기유치원,사립(사인),1992년,지상2층/ 지하1층,638㎡,547㎡,20211,서울특별시 강서구 허준로 47
서울특별시교육청,강서양천교육지원청,1ecec08c-f3d7-b044-e053-0a32095ab044,서울정곡초등학교병설유치원,공립(병설),1994년,지상2층/ 지하0층,1324㎡,12475㎡,20211,서울특별시 강서구 방화대로50길 22
서울특별시교육청,강서양천교육지원청,1ecec08c-f3d8-b044-e053-0a32095ab044,신영유치원,사립(사인),1983년,지상3층/ 지하1층,666㎡,520㎡,20211,서울특별시 강서구 곰달래로25길 4
서울특별시교육청,강서양천교육지원청,1ecec08c-f446-b044-e053-0a32095ab044,강서유치원,사립(사인),1988년,지상4층/ 지하0층,1122㎡,803㎡,20211,서울특별시 강서구 까치산로 116
서울특별시교육청,강서양천교육지원청,1ecec08c-f447-b044-e053-0a32095ab044,대유유치원,사립(법인),1980년,지상2층/ 지하1층,567㎡,361㎡,20211,서울특별시 강서구 곰달래로57길 39
서울특별시교육청,강서양천교육지원청,1ecec08c-f44b-b044-e053-0a32095ab044,문성유치원,사립(사인),1980년,지상3층/ 지하0층,1290㎡,768㎡,20191,서울특별시 강서구 우현로 8
서울특별시교육청,강서양천교육지원청,1ecec08c-f563-b044-e053-0a32095ab044,우람유치원,사립(사인),1997년,지상4층/ 지하1층,717㎡,734㎡,20211,서울특별시 강서구 방화대로45길 32
서울특별시교육청,강서양천교육지원청,1ecec08c-f7b7-b044-e053-0a32095ab044,우일유치원,사립(사인),1987년,지상2층/ 지하1층,636㎡,558㎡,20211,서울특별시 강서구 곰달래로47길 88
서울특별시교육청,강서양천교육지원청,1ecec08c-f7f7-b044-e053-0a32095ab044,우리곰유치원,사립(사인),1992년,지상2층/ 지하1층,490㎡,2099㎡,20211,서울특별시 강서구 허준로 23
서울특별시교육청,강서양천교육지원청,1ecec08c-f8f5-b044-e053-0a32095ab044,공항제일유치원,사립(사인),1981년,지상2층/ 지하1층,417㎡,71239㎡,20211,서울특별시 강서구 개화동로23길 100
서울특별시교육청,강서양천교육지원청,1ecec08c-f8f7-b044-e053-0a32095ab044,등현유치원,사립(사인),1996년,지상3층/ 지하1층,744㎡,400㎡,20211,서울특별시 강서구 화곡로63가길 63
서울특별시교육청,강서양천교육지원청,1ecec08c-fa09-b044-e053-0a32095ab044,유니유치원,사립(사인),1993년,지상2층/ 지하1층,747㎡,603㎡,20211,서울특별시 강서구 허준로 175
